fundstelle;bezeichnung;nutzungsdauer_jahre;quelle
5.5;Bürstmaschinen;10;BMF 15.12.2000
5.6;Drehbänke;16;BMF 15.12.2000
5.7.1;stationär;15;BMF 15.12.2000
5.7.2;mobil;8;BMF 15.12.2000
5.8;Funkenerosionsmaschinen;7;BMF 15.12.2000
5.9.1;stationär;16;BMF 15.12.2000
5.9.2;mobil;9;BMF 15.12.2000
5.10.1;stationär;13;BMF 15.12.2000
5.10.2;mobil;5;BMF 15.12.2000
5.11;Pressen und Stanzen;14;BMF 15.12.2000
5.12;Stauchmaschinen;10;BMF 15.12.2000
5.13;Stampfer und Rüttelplatten;11;BMF 15.12.2000
5.14.1;stationär;14;BMF 15.12.2000
5.14.2;mobil;8;BMF 15.12.2000
5.15.1;stationär;10;BMF 15.12.2000
5.15.2;mobil;7;BMF 15.12.2000
5.16;Sandstrahlgebläse;9;BMF 15.12.2000
5.17.1;stationär;15;BMF 15.12.2000
5.17.2;mobil;8;BMF 15.12.2000
5.18.1;stationär;13;BMF 15.12.2000
5.18.2;mobil;8;BMF 15.12.2000
5.19;Shredder;6;BMF 15.12.2000
5.20;Schweißgeräte und Lötgeräte;13;BMF 15.12.2000
5.21;Spritzgussmaschinen;13;BMF 15.12.2000
5.22;Abfüllanlagen;10;BMF 15.12.2000
5.23;Verpackungsmaschinen, Folienschweißgeräte;13;BMF 15.12.2000
5.24;Zusammentragmaschinen;12;BMF 15.12.2000
5.25;Stempelmaschinen;8;BMF 15.12.2000
5.26;Banderoliermaschinen;8;BMF 15.12.2000
5.27;Sonstige Be- und Verarbeitungsmaschinen (Abkanten, Anleimen, Anspitzen, Ätzen, Beschichten, Drucken, Eloxieren, Entfetten, Entgraten, Erodieren, Etikettieren, Falzen, Färben, Feilen, Gießen, Galvanisieren, Gravieren, Härten, Heften, Lackieren, Nieten);13;BMF 15.12.2000
6.1;Wirtschaftsgüter der Werkstätten-, Labor- und Lagereinrichtungen;14;BMF 15.12.2000
6.2;Wirtschaftsgüter der Ladeneinrichtungen;8;BMF 15.12.2000
6.3;Messestände;6;BMF 15.12.2000
6.4;Kühleinrichtungen;8;BMF 15.12.2000
6.5;Klimageräte (mobil);11;BMF 15.12.2000
6.6;Belüftungsgeräte, Entlüftungsgeräte (mobil);10;BMF 15.12.2000
6.7;Fettabscheider;5;BMF 15.12.2000
6.8;Magnetabscheider;6;BMF 15.12.2000
6.9;Nassabscheider;5;BMF 15.12.2000
